id,battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,cores,speed,sim,f_camera,camera,memory,screen,wifi,price,resolution,DPI_W,call_ratio
0,842,0.6,188,20,756,2549,9,7,19,No,2,dual,medium,Single,1.0,2.0,7.390625,LCD,g,751.64,15120,270.0,44.31578947368421
1,1021,0.7,136,905,1988,2631,17,3,7,Yes,4,triple,low,Dual,,6.0,52.4990234375,Touch,none,885.17,1799140,1656.6666666666665,145.85714285714286
2,563,0.9,145,1263,1716,2603,11,2,9,Yes,4,penta,low,Dual,2.0,6.0,40.17578125,Touch,none,1067.78,2167308,2145.0,62.55555555555556
3,615,0.8,131,1216,1786,2769,16,8,11,Yes,3,hexa,high,Single,,9.0,10.310546875,LCD,none,819.22,2171776,558.125,55.90909090909091
4,1821,0.6,141,1208,1212,1411,8,2,15,Yes,4,dual,medium,Single,13.0,14.0,43.39453125,Touch,none,1023.13,1464096,1515.0,121.4
5,1859,0.7,164,1004,1654,1067,17,1,10,No,3,single,low,Dual,3.0,7.0,22.1025390625,LCD,none,877.77,1660616,4135.0,185.9
6,1821,0.8,139,381,1018,3220,13,8,18,No,4,octa,medium,Single,4.0,10.0,10.486328125,LCD,g,1103.21,387858,318.125,101.16666666666667
7,1954,0.8,187,512,1149,700,16,3,5,No,3,quad,low,Dual,,,23.9892578125,Touch,g,858.49,588288,957.5,390.8
8,1445,0.7,174,386,836,1099,17,1,20,Yes,3,hepta,low,Single,,14.0,52.1923828125,LCD,none,590.74,322696,2090.0,72.25
9,509,0.1,93,1137,1224,513,19,10,12,Yes,4,penta,low,Dual,2.0,15.0,9.24609375,LCD,none,679.55,1391688,306.0,42.416666666666664
10,769,0.1,182,248,874,3946,5,2,7,Yes,2,penta,high,Dual,,1.0,9.654296875,LCD,none,354.85,216752,1092.5,109.85714285714286
11,1520,0.5,177,151,1005,3826,14,9,13,Yes,4,octa,medium,Single,5.0,18.0,32.822265625,Touch,n,950.99,151755,279.1666666666667,116.92307692307692
12,1815,0.6,159,607,748,1482,18,0,2,No,3,quad,high,Single,2.0,17.0,33.0576171875,LCD,none,576.3,454036,inf,907.5
13,803,1.0,198,344,1440,2680,7,1,4,Yes,3,quad,medium,Single,7.0,11.0,17.4189453125,LCD,b,511.22,495360,3600.0,200.75
14,1866,0.7,185,356,563,373,14,9,3,No,4,single,low,Single,13.0,17.0,51.0966796875,LCD,g,738.11,200428,156.38888888888889,622.0
15,775,0.7,159,862,1864,568,17,15,11,No,3,dual,medium,Single,3.0,16.0,45.375,Touch,b,674.88,1606768,310.6666666666667,70.45454545454545
16,838,0.1,196,984,1850,3554,10,9,19,No,4,octa,low,Single,1.0,4.0,13.1630859375,LCD,n,915.6,1820400,513.8888888888889,44.10526315789474
17,595,0.1,121,441,810,3752,10,2,18,No,4,triple,low,Dual,7.0,17.0,22.9853515625,Touch,none,1189.8,357210,1012.5,33.05555555555556
18,1131,0.6,101,658,878,1835,19,13,16,Yes,3,penta,low,Dual,11.0,18.0,48.2734375,Touch,none,729.81,577724,168.84615384615384,70.6875
19,682,1.0,121,902,1064,2337,11,1,18,Yes,2,quad,low,Single,4.0,11.0,18.8017578125,Touch,a,709.37,959728,2660.0,37.888888888888886
20,772,0.8,81,1314,1854,2819,17,15,3,No,3,hepta,medium,Dual,12.0,14.0,39.0,Touch,none,758.28,2436156,309.0,257.3333333333333
21,1709,1.0,156,974,1385,3283,17,1,15,Yes,3,dual,medium,Single,1.0,2.0,12.99609375,LCD,none,1081.99,1348990,3462.5,113.93333333333334
22,1949,0.3,199,407,822,1433,11,5,20,No,2,quad,high,Dual,4.0,7.0,46.1884765625,LCD,b,688.74,334554,411.0,97.45
23,1602,0.7,114,466,788,1037,8,7,20,Yes,4,triple,high,Dual,4.0,20.0,37.5361328125,LCD,none,750.91,367208,281.42857142857144,80.1
24,503,0.4,111,201,1245,2583,11,0,12,No,4,triple,medium,Dual,5.0,13.0,8.232421875,LCD,none,920.94,250245,inf,41.916666666666664
25,961,0.6,114,291,1434,2782,18,9,7,Yes,4,octa,medium,Dual,,3.0,56.056640625,Touch,a,817.72,417294,398.33333333333337,137.28571428571428
26,519,0.3,132,550,645,3763,16,1,4,Yes,4,quad,medium,Dual,7.0,19.0,50.4443359375,LCD,b,495.2,354750,1612.5,129.75
