id,battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,cores,speed,sim,f_camera,camera,memory,screen,wifi,price,cores_ord,speed_ord,wifi_ord,sim_ord,bluetooth_bin,screen_bin
0,842,0.6,188,20,756,2549,9,7,19,No,2,dual,medium,Single,1.0,2.0,7568,LCD,g,751,2,2,3,2,0,0
1,1021,0.7,136,905,1988,2631,17,3,7,Yes,4,triple,low,Dual,0.0,6.0,53759,Touch,none,885,3,1,1,1,1,1
2,563,0.9,145,1263,1716,2603,11,2,9,Yes,4,penta,low,Dual,2.0,6.0,41140,Touch,none,1067,5,1,1,1,1,1
3,615,0.8,131,1216,1786,2769,16,8,11,Yes,3,hexa,high,Single,0.0,9.0,10558,LCD,none,819,6,3,1,2,1,0
4,1821,0.6,141,1208,1212,1411,8,2,15,Yes,4,dual,medium,Single,13.0,14.0,44436,Touch,none,1023,2,2,1,2,1,1
5,1859,0.7,164,1004,1654,1067,17,1,10,No,3,single,low,Dual,3.0,7.0,22633,LCD,none,877,1,1,1,1,0,0
6,1821,0.8,139,381,1018,3220,13,8,18,No,4,octa,medium,Single,4.0,10.0,10738,LCD,g,1103,8,2,3,2,0,0
7,1954,0.8,187,512,1149,700,16,3,5,No,3,quad,low,Dual,0.0,0.0,24565,Touch,g,858,4,1,3,1,0,1
8,1445,0.7,174,386,836,1099,17,1,20,Yes,3,hepta,low,Single,0.0,14.0,53445,LCD,none,590,7,1,1,2,1,0
9,509,0.1,93,1137,1224,513,19,10,12,Yes,4,penta,low,Dual,2.0,15.0,9468,LCD,none,679,5,1,1,1,1,0
10,769,0.1,182,248,874,3946,5,2,7,Yes,2,penta,high,Dual,0.0,1.0,9886,LCD,none,354,5,3,1,1,1,0
11,1520,0.5,177,151,1005,3826,14,9,13,Yes,4,octa,medium,Single,5.0,18.0,33610,Touch,n,950,8,2,2,2,1,1
12,1815,0.6,159,607,748,1482,18,0,2,No,3,quad,high,Single,2.0,17.0,33851,LCD,none,576,4,3,1,2,0,0
13,803,1.0,198,344,1440,2680,7,1,4,Yes,3,quad,medium,Single,7.0,11.0,17837,LCD,b,511,4,2,4,2,1,0
14,1866,0.7,185,356,563,373,14,9,3,No,4,single,low,Single,13.0,17.0,52323,LCD,g,738,1,1,3,2,0,0
15,775,0.7,159,862,1864,568,17,15,11,No,3,dual,medium,Single,3.0,16.0,46464,Touch,b,674,2,2,4,2,0,1
16,838,0.1,196,984,1850,3554,10,9,19,No,4,octa,low,Single,1.0,4.0,13479,LCD,n,915,8,1,2,2,0,0
17,595,0.1,121,441,810,3752,10,2,18,No,4,triple,low,Dual,7.0,17.0,23537,Touch,none,1189,3,1,1,1,0,1
18,1131,0.6,101,658,878,1835,19,13,16,Yes,3,penta,low,Dual,11.0,18.0,49432,Touch,none,729,5,1,1,1,1,1
