ram,battery_power,2,3,4
"(255.999, 1016.0]","(500.999, 781.0]",459.3,566.9,681.8
"(255.999, 1016.0]","(781.0, 1076.0]",489.0,593.5,711.3
"(255.999, 1016.0]","(1076.0, 1395.4]",527.1,621.4,765.9
"(255.999, 1016.0]","(1395.4, 1698.2]",603.1,698.7,822.1
"(255.999, 1016.0]","(1698.2, 1998.0]",651.9,761.4,816.6
"(1016.0, 1742.6]","(500.999, 781.0]",570.0,697.5,761.8
"(1016.0, 1742.6]","(781.0, 1076.0]",587.5,691.9,820.9
"(1016.0, 1742.6]","(1076.0, 1395.4]",670.2,733.9,856.9
"(1016.0, 1742.6]","(1395.4, 1698.2]",685.7,781.3,907.3
"(1016.0, 1742.6]","(1698.2, 1998.0]",729.8,843.2,933.0
"(1742.6, 2485.2]","(500.999, 781.0]",649.1,725.2,825.8
"(1742.6, 2485.2]","(781.0, 1076.0]",648.6,757.3,881.7
"(1742.6, 2485.2]","(1076.0, 1395.4]",680.2,786.0,942.1
"(1742.6, 2485.2]","(1395.4, 1698.2]",702.5,878.7,979.3
"(1742.6, 2485.2]","(1698.2, 1998.0]",822.9,911.1,1059.0
"(2485.2, 3256.6]","(500.999, 781.0]",678.2,816.9,973.5
"(2485.2, 3256.6]","(781.0, 1076.0]",772.0,815.3,967.0
"(2485.2, 3256.6]","(1076.0, 1395.4]",792.7,895.1,1046.4
"(2485.2, 3256.6]","(1395.4, 1698.2]",815.0,1019.8,1058.4
"(2485.2, 3256.6]","(1698.2, 1998.0]",883.2,997.2,1100.4
"(3256.6, 3998.0]","(500.999, 781.0]",777.4,964.5,1023.0
"(3256.6, 3998.0]","(781.0, 1076.0]",833.3,973.1,1041.5
"(3256.6, 3998.0]","(1076.0, 1395.4]",924.7,971.5,1136.6
"(3256.6, 3998.0]","(1395.4, 1698.2]",939.7,1133.5,1186.6
"(3256.6, 3998.0]","(1698.2, 1998.0]",1093.7,1105.3,1260.7
